iter	Passed	Remaining
0	129	129485
1	148	74324
2	165	54968
3	180	45034
4	197	39242
5	212	35198
6	228	32477
7	243	30157
8	255	28167
9	268	26627
10	281	25295
11	294	24215
12	306	23244
13	317	22374
14	330	21677
15	344	21175
16	358	20742
17	374	20405
18	389	20124
19	404	19838
20	419	19541
21	434	19309
22	449	19106
23	464	18906
24	479	18711
25	495	18554
26	510	18380
27	524	18214
28	541	18126
29	557	18024
30	574	17943
31	594	17988
32	615	18022
33	638	18141
34	657	18124
35	683	18305
36	703	18321
37	725	18362
38	743	18327
39	763	18335
40	784	18354
41	803	18336
42	820	18253
43	834	18136
44	853	18112
45	869	18024
46	882	17901
47	894	17750
48	908	17627
49	923	17548
50	939	17484
51	954	17410
52	968	17310
53	985	17259
54	1000	17183
55	1010	17036
56	1025	16973
57	1041	16913
58	1060	16915
59	1079	16907
60	1100	16946
61	1121	16967
62	1141	16970
63	1164	17035
64	1186	17072
65	1207	17089
66	1237	17226
67	1263	17316
68	1286	17364
69	1312	17432
70	1333	17442
71	1352	17429
72	1368	17378
73	1382	17306
74	1397	17230
75	1411	17164
76	1427	17109
77	1442	17052
78	1457	16986
79	1476	16977
80	1495	16969
81	1511	16924
82	1528	16889
83	1545	16857
84	1563	16832
85	1580	16798
86	1597	16767
87	1614	16732
88	1633	16716
89	1649	16679
90	1667	16661
91	1684	16623
92	1700	16586
93	1718	16566
94	1736	16545
95	1756	16536
96	1774	16522
97	1795	16524
98	1815	16520
99	1836	16528
100	1857	16537
101	1878	16536
102	1897	16522
103	1916	16515
104	1938	16525
105	1960	16537
106	1981	16538
107	2003	16543
108	2027	16569
109	2048	16574
110	2069	16572
111	2091	16580
112	2111	16577
113	2131	16567
114	2150	16549
115	2170	16542
116	2193	16555
117	2216	16565
118	2235	16553
119	2253	16525
120	2271	16503
121	2290	16483
122	2307	16454
123	2325	16428
124	2343	16401
125	2361	16381
126	2379	16359
127	2396	16328
128	2412	16289
129	2429	16261
130	2445	16223
131	2462	16194
132	2477	16153
133	2493	16111
134	2506	16061
135	2522	16025
136	2537	15984
137	2551	15940
138	2566	15900
139	2581	15860
140	2597	15824
141	2613	15788
142	2631	15770
143	2648	15744
144	2667	15728
145	2683	15696
146	2699	15667
147	2716	15639
148	2735	15621
149	2754	15607
150	2770	15579
151	2788	15555
152	2809	15555
153	2829	15546
154	2851	15543
155	2868	15520
156	2885	15496
157	2901	15465
158	2917	15433
159	2936	15414
160	2953	15391
161	2969	15361
162	2984	15323
163	3003	15309
164	3019	15279
165	3040	15274
166	3056	15246
167	3070	15207
168	3085	15169
169	3100	15138
170	3115	15102
171	3128	15061
172	3141	15017
173	3154	14974
174	3169	14944
175	3185	14913
176	3198	14873
177	3212	14833
178	3224	14791
179	3239	14756
180	3252	14719
181	3266	14680
182	3279	14641
183	3292	14602
184	3305	14563
185	3318	14523
186	3332	14486
187	3346	14453
188	3359	14415
189	3373	14382
190	3389	14356
191	3408	14343
192	3430	14345
193	3449	14329
194	3467	14314
195	3485	14298
196	3505	14288
197	3526	14285
198	3543	14263
199	3565	14263
200	3584	14249
201	3601	14226
202	3617	14204
203	3637	14195
204	3658	14187
205	3676	14171
206	3700	14176
207	3746	14264
208	3801	14387
209	3832	14419
210	3857	14422
211	3874	14402
212	3896	14398
213	3920	14401
214	3940	14389
215	3959	14370
216	3977	14353
217	3996	14335
218	4015	14318
219	4031	14293
220	4050	14278
221	4071	14270
222	4090	14253
223	4110	14239
224	4132	14234
225	4154	14229
226	4175	14218
227	4191	14192
228	4209	14171
229	4224	14141
230	4238	14111
231	4255	14086
232	4270	14058
233	4286	14031
234	4301	14003
235	4316	13975
236	4332	13947
237	4348	13923
238	4365	13900
239	4380	13872
240	4397	13848
241	4412	13820
242	4428	13796
243	4444	13770
244	4461	13747
245	4479	13729
246	4495	13704
247	4512	13684
248	4531	13668
249	4550	13651
250	4570	13638
251	4590	13624
252	4611	13616
253	4629	13597
254	4646	13573
255	4661	13548
256	4681	13534
257	4702	13523
258	4718	13500
259	4735	13477
260	4751	13453
261	4769	13434
262	4789	13421
263	4805	13398
264	4823	13379
265	4840	13357
266	4858	13338
267	4876	13318
268	4893	13296
269	4908	13271
270	4925	13250
271	4943	13230
272	4959	13207
273	4976	13184
274	4991	13160
275	5006	13133
276	5022	13109
277	5037	13083
278	5052	13057
279	5068	13032
280	5081	13003
281	5096	12976
282	5112	12952
283	5125	12922
284	5138	12892
285	5154	12868
286	5169	12841
287	5182	12811
288	5197	12787
289	5213	12763
290	5228	12738
291	5245	12718
292	5261	12696
293	5276	12671
294	5292	12647
295	5307	12623
296	5322	12598
297	5335	12567
298	5348	12538
299	5361	12509
300	5374	12481
301	5387	12451
302	5400	12421
303	5413	12393
304	5426	12364
305	5440	12338
306	5453	12311
307	5467	12284
308	5480	12255
309	5494	12230
310	5509	12205
311	5525	12183
312	5538	12157
313	5551	12128
314	5564	12100
315	5576	12071
316	5590	12044
317	5602	12015
318	5614	11985
319	5627	11959
320	5641	11932
321	5654	11906
322	5667	11879
323	5680	11852
324	5693	11825
325	5706	11798
326	5719	11770
327	5731	11742
328	5744	11715
329	5757	11689
330	5771	11664
331	5785	11639
332	5797	11612
333	5810	11585
334	5825	11564
335	5849	11560
336	5874	11557
337	5896	11549
338	5918	11540
339	5936	11523
340	5952	11504
341	5969	11485
342	5985	11465
343	6002	11446
344	6020	11430
345	6041	11418
346	6065	11415
347	6088	11406
348	6107	11393
349	6128	11382
350	6146	11364
351	6162	11345
352	6177	11321
353	6190	11297
354	6204	11272
355	6216	11245
356	6230	11221
357	6243	11197
358	6256	11170
359	6269	11145
360	6282	11120
361	6295	11095
362	6307	11067
363	6319	11041
364	6331	11015
365	6344	10990
366	6358	10966
367	6371	10942
368	6384	10917
369	6397	10892
370	6410	10868
371	6422	10842
372	6434	10816
373	6447	10792
374	6461	10768
375	6473	10742
376	6484	10715
377	6496	10689
378	6508	10663
379	6521	10639
380	6532	10612
381	6545	10588
382	6557	10563
383	6569	10538
384	6581	10512
385	6592	10487
386	6604	10462
387	6616	10436
388	6628	10410
389	6640	10386
390	6652	10361
391	6664	10337
392	6676	10312
393	6688	10287
394	6701	10263
395	6712	10238
396	6725	10214
397	6737	10191
398	6750	10168
399	6763	10145
400	6776	10122
401	6789	10100
402	6803	10079
403	6817	10057
404	6829	10032
405	6840	10007
406	6853	9984
407	6865	9962
408	6878	9940
409	6891	9916
410	6903	9893
411	6917	9871
412	6930	9850
413	6943	9828
414	6956	9805
415	6969	9784
416	6983	9763
417	6997	9742
418	7011	9722
419	7025	9701
420	7037	9679
421	7051	9657
422	7064	9636
423	7077	9614
424	7090	9592
425	7101	9568
426	7113	9545
427	7126	9523
428	7138	9501
429	7150	9478
430	7163	9457
431	7177	9437
432	7190	9415
433	7202	9392
434	7214	9371
435	7227	9348
436	7239	9326
437	7250	9303
438	7263	9282
439	7275	9260
440	7288	9238
441	7299	9214
442	7311	9193
443	7323	9171
444	7335	9148
445	7347	9127
446	7359	9104
447	7372	9084
448	7385	9062
449	7396	9040
450	7408	9018
451	7420	8997
452	7432	8974
453	7443	8952
454	7455	8930
455	7468	8909
456	7480	8888
457	7494	8869
458	7506	8847
459	7518	8826
460	7531	8805
461	7544	8785
462	7557	8765
463	7569	8744
464	7582	8724
465	7594	8703
466	7606	8681
467	7619	8661
468	7632	8641
469	7645	8621
470	7656	8599
471	7669	8579
472	7681	8558
473	7693	8537
474	7707	8518
475	7719	8498
476	7732	8478
477	7746	8459
478	7759	8440
479	7775	8423
480	7790	8406
481	7806	8389
482	7821	8371
483	7836	8354
484	7852	8337
485	7866	8319
486	7881	8302
487	7894	8283
488	7909	8265
489	7922	8245
490	7935	8226
491	7948	8206
492	7961	8187
493	7974	8168
494	7987	8149
495	8001	8130
496	8014	8111
497	8027	8092
498	8041	8073
499	8053	8053
500	8066	8034
501	8079	8014
502	8091	7994
503	8103	7974
504	8114	7954
505	8126	7934
506	8139	7914
507	8150	7893
508	8163	7874
509	8173	7852
510	8186	7834
511	8200	7815
512	8213	7797
513	8225	7777
514	8238	7758
515	8251	7739
516	8263	7719
517	8274	7699
518	8287	7680
519	8301	7662
520	8315	7645
521	8330	7628
522	8346	7612
523	8361	7595
524	8375	7577
525	8390	7561
526	8409	7547
527	8425	7531
528	8439	7514
529	8458	7501
530	8484	7493
531	8503	7480
532	8522	7467
533	8543	7455
534	8562	7442
535	8577	7425
536	8593	7409
537	8608	7392
538	8622	7374
539	8637	7357
540	8651	7339
541	8665	7322
542	8680	7306
543	8696	7289
544	8710	7272
545	8723	7254
546	8739	7237
547	8752	7219
548	8766	7201
549	8781	7185
550	8795	7167
551	8809	7149
552	8822	7131
553	8835	7112
554	8847	7093
555	8860	7075
556	8873	7057
557	8885	7038
558	8897	7019
559	8909	7000
560	8923	6982
561	8936	6965
562	8947	6945
563	8959	6926
